direction,entry_time,entry_price,exit_time,exit_price,duration,pnl,reason
SHORT,2026-01-01T00:00,2979.81,2026-01-01T01:00,2984.32,1,-0.25,Signal flip
LONG,2026-01-01T01:00,2984.32,2026-01-01T03:00,2980.0,2,-0.24,Signal flip
SHORT,2026-01-01T03:00,2980.0,2026-01-01T05:00,2981.49,2,-0.15,Signal flip
LONG,2026-01-01T05:00,2981.49,2026-01-01T06:00,2975.89,1,-0.29,Signal flip
SHORT,2026-01-01T06:00,2975.89,2026-01-01T08:00,2982.59,2,-0.32,Signal flip
LONG,2026-01-01T08:00,2982.59,2026-01-06T17:00,3196.43,129,7.07,Signal flip
SHORT,2026-01-06T17:00,3196.43,2026-01-06T18:00,3218.91,1,-0.8,Signal flip
LONG,2026-01-06T18:00,3218.91,2026-01-07T09:00,3200.18,15,-0.68,Signal flip
SHORT,2026-01-07T09:00,3200.18,2026-01-09T16:00,3133.13,55,2.04,Signal flip
LONG,2026-01-09T16:00,3133.13,2026-01-09T17:00,3114.41,1,-0.7,Signal flip
SHORT,2026-01-09T17:00,3114.41,2026-01-11T08:00,3103.38,39,0.26,Signal flip
LONG,2026-01-11T08:00,3103.38,2026-01-12T08:00,3115.47,24,0.29,Signal flip
SHORT,2026-01-12T08:00,3115.47,2026-01-12T15:00,3130.17,7,-0.57,Signal flip
LONG,2026-01-12T15:00,3130.17,2026-01-12T17:00,3104.88,2,-0.91,Signal flip
SHORT,2026-01-12T17:00,3104.88,2026-01-12T19:00,3121.83,2,-0.64,Signal flip
LONG,2026-01-12T19:00,3121.83,2026-01-12T20:00,3102.57,1,-0.72,Signal flip
SHORT,2026-01-12T20:00,3102.57,2026-01-13T03:00,3116.14,7,-0.54,Signal flip
LONG,2026-01-13T03:00,3116.14,2026-01-15T17:00,3301.46,62,5.85,Signal flip
SHORT,2026-01-15T17:00,3301.46,2026-01-15T22:00,3309.11,5,-0.33,Signal flip
LONG,2026-01-15T22:00,3309.11,2026-01-16T03:00,3295.21,5,-0.52,Signal flip
SHORT,2026-01-16T03:00,3295.21,2026-01-16T05:00,3309.23,2,-0.52,Signal flip
LONG,2026-01-16T05:00,3309.23,2026-01-16T10:00,3297.75,5,-0.45,Signal flip
SHORT,2026-01-16T10:00,3297.75,2026-01-16T12:00,3308.87,2,-0.44,Signal flip
LONG,2026-01-16T12:00,3308.87,2026-01-16T14:00,3294.12,2,-0.55,Signal flip
SHORT,2026-01-16T14:00,3294.12,2026-01-17T08:00,3296.48,18,-0.17,Signal flip
LONG,2026-01-17T08:00,3296.48,2026-01-17T22:00,3302.0,14,0.07,Signal flip
SHORT,2026-01-17T22:00,3302.0,2026-01-17T23:00,3310.56,1,-0.36,Signal flip
LONG,2026-01-17T23:00,3310.56,2026-01-18T01:00,3301.15,2,-0.38,Signal flip
SHORT,2026-01-18T01:00,3301.15,2026-01-18T02:00,3303.45,1,-0.17,Signal flip
LONG,2026-01-18T02:00,3303.45,2026-01-18T23:00,3284.03,21,-0.69,Signal flip
SHORT,2026-01-18T23:00,3284.03,2026-01-21T19:00,3055.56,68,7.38,Signal flip
LONG,2026-01-21T19:00,3055.56,2026-01-21T20:00,3031.84,1,-0.88,Signal flip
SHORT,2026-01-21T20:00,3031.84,2026-01-23T17:00,2987.51,45,1.38,Signal flip
LONG,2026-01-23T17:00,2987.51,2026-01-23T19:00,2959.8,2,-1.03,Signal flip
SHORT,2026-01-23T19:00,2959.8,2026-01-24T17:00,2964.3,22,-0.25,Signal flip
LONG,2026-01-24T17:00,2964.3,2026-01-24T18:00,2963.82,1,-0.12,Signal flip
SHORT,2026-01-24T18:00,2963.82,2026-01-26T08:00,2912.29,38,1.67,Signal flip
