trade_id,strategy,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,EMA_CONFIRMED_20_200,LONG,2026-01-01T17:15,2987.05,2026-01-01T18:15,2986.01,12,1.0,10000.0,-3.5,-0.04,9996.5,Signal Flip
2,EMA_CONFIRMED_20_200,LONG,2026-01-01T18:20,2991.21,2026-01-01T18:30,2985.12,2,0.17,9996.5,-20.38,-0.2,9976.12,Signal Flip
3,EMA_CONFIRMED_20_200,LONG,2026-01-01T18:45,2991.89,2026-01-01T19:10,2986.72,5,0.42,9976.12,-17.24,-0.17,9958.88,Signal Flip
4,EMA_CONFIRMED_20_200,LONG,2026-01-01T19:40,2993.9,2026-01-01T20:25,2990.05,9,0.75,9958.88,-12.78,-0.13,9946.1,Signal Flip
5,EMA_CONFIRMED_20_200,LONG,2026-01-01T20:30,2994.35,2026-01-01T20:35,2989.81,1,0.08,9946.1,-15.05,-0.15,9931.05,Signal Flip
6,EMA_CONFIRMED_20_200,LONG,2026-01-01T21:10,2992.7,2026-01-01T21:35,2987.94,5,0.42,9931.05,-15.8,-0.16,9915.25,Signal Flip
7,EMA_CONFIRMED_20_200,LONG,2026-01-01T22:05,2992.87,2026-01-01T22:40,2989.01,7,0.58,9915.25,-12.76,-0.13,9902.49,Signal Flip
8,EMA_CONFIRMED_20_200,LONG,2026-01-01T22:45,2992.75,2026-01-02T00:05,2998.21,16,1.33,9902.49,18.08,0.18,9920.57,Signal Flip
9,EMA_CONFIRMED_20_200,LONG,2026-01-02T00:25,3003.54,2026-01-02T00:45,2997.52,4,0.33,9920.57,-19.89,-0.2,9900.69,Signal Flip
10,EMA_CONFIRMED_20_200,LONG,2026-01-02T00:50,3004.6,2026-01-02T01:30,3000.97,8,0.67,9900.69,-11.97,-0.12,9888.72,Signal Flip
11,EMA_CONFIRMED_20_200,LONG,2026-01-02T01:50,3003.55,2026-01-02T02:05,2999.02,3,0.25,9888.72,-14.92,-0.15,9873.8,Signal Flip
12,EMA_CONFIRMED_20_200,LONG,2026-01-02T02:50,3002.2,2026-01-02T04:45,3013.78,23,1.92,9873.8,38.09,0.39,9911.89,Signal Flip
13,EMA_CONFIRMED_20_200,LONG,2026-01-02T05:20,3019.35,2026-01-02T05:25,3010.15,1,0.08,9911.89,-30.18,-0.3,9881.71,Signal Flip
14,EMA_CONFIRMED_20_200,LONG,2026-01-02T05:50,3015.79,2026-01-02T07:35,3020.61,21,1.75,9881.71,15.8,0.16,9897.5,Signal Flip
15,EMA_CONFIRMED_20_200,LONG,2026-01-02T08:10,3026.4,2026-01-02T11:05,3048.47,35,2.92,9897.5,72.15,0.73,9969.66,Signal Flip
16,EMA_CONFIRMED_20_200,LONG,2026-01-02T11:25,3056.0,2026-01-02T11:30,3045.87,1,0.08,9969.66,-33.05,-0.33,9936.61,Signal Flip
17,EMA_CONFIRMED_20_200,LONG,2026-01-02T12:20,3053.92,2026-01-02T12:25,3047.38,1,0.08,9936.61,-21.28,-0.21,9915.33,Signal Flip
18,EMA_CONFIRMED_20_200,LONG,2026-01-02T12:30,3051.88,2026-01-02T13:00,3047.14,6,0.5,9915.33,-15.4,-0.16,9899.93,Signal Flip
19,EMA_CONFIRMED_20_200,LONG,2026-01-02T13:05,3052.31,2026-01-02T13:35,3049.57,6,0.5,9899.93,-8.86,-0.09,9891.07,Signal Flip
20,EMA_CONFIRMED_20_200,LONG,2026-01-02T13:50,3056.9,2026-01-02T14:00,3048.75,2,0.17,9891.07,-26.35,-0.27,9864.72,Signal Flip
21,EMA_CONFIRMED_20_200,LONG,2026-01-02T14:05,3055.54,2026-01-02T14:10,3049.26,1,0.08,9864.72,-20.25,-0.21,9844.47,Signal Flip
22,EMA_CONFIRMED_20_200,LONG,2026-01-02T14:40,3049.5,2026-01-02T17:50,3113.86,38,3.17,9844.47,207.76,2.11,10052.23,Signal Flip
23,EMA_CONFIRMED_20_200,LONG,2026-01-02T17:55,3122.91,2026-01-02T18:10,3119.7,3,0.25,10052.23,-10.34,-0.1,10041.9,Signal Flip
24,EMA_CONFIRMED_20_200,LONG,2026-01-02T18:15,3125.36,2026-01-02T18:35,3113.33,4,0.33,10041.9,-38.65,-0.38,10003.25,Signal Flip
25,EMA_CONFIRMED_20_200,LONG,2026-01-02T19:15,3119.89,2026-01-02T20:10,3119.16,11,0.92,10003.25,-2.34,-0.02,10000.91,Signal Flip
26,EMA_CONFIRMED_20_200,LONG,2026-01-02T20:15,3131.08,2026-01-02T20:30,3120.04,3,0.25,10000.91,-35.28,-0.35,9965.63,Signal Flip
27,EMA_CONFIRMED_20_200,LONG,2026-01-02T20:40,3124.02,2026-01-02T20:50,3117.47,2,0.17,9965.63,-20.9,-0.21,9944.73,Signal Flip
28,EMA_CONFIRMED_20_200,LONG,2026-01-02T21:05,3122.68,2026-01-02T21:10,3118.34,1,0.08,9944.73,-13.82,-0.14,9930.91,Signal Flip
29,EMA_CONFIRMED_20_200,LONG,2026-01-02T21:30,3126.95,2026-01-02T23:10,3130.22,20,1.67,9930.91,10.39,0.1,9941.3,Signal Flip
